名称	组	配置文件	已启用	操作	替代	程序	本地地址	远程地址	协议	本地端口	远程端口	许可的用户	许可的计算机	
网络发现(UPnP-In)	网络发现	公用	是	允许	否	System	任何	本地子网	TCP	2869	任何	任何	任何	
网络发现(SSDP-In)	网络发现	公用	是	允许	否	C:\Windows\system32\svchost.exe	任何	本地子网	UDP	1900	任何	任何	任何	
流量防火墙		公用	是	允许	否	C:\Program Files (x86)\360\360safe\netmon\360netman.exe	任何	任何	TCP	任何	任何	任何	任何	
核心网络 - 需要目标不可访问的碎片(ICMPv4-In)	核心网络 	所有	是	允许	否	System	任何	任何	ICMPv4	任何	任何	任何	任何	
核心网络 - 数据包太大(ICMPv6-In)	核心网络 	所有	是	允许	否	System	任何	任何	ICMPv6	任何	任何	任何	任何	
核心网络 - 目标不可访问(ICMPv6-In)	核心网络 	所有	是	允许	否	System	任何	任何	ICMPv6	任何	任何	任何	任何	
核心网络 - 路由器请求(ICMPv6-In)	核心网络 	所有	是	允许	否	System	任何	任何	ICMPv6	任何	任何	任何	任何	
核心网络 - 路由器播发(ICMPv6-In)	核心网络 	所有	是	允许	否	System	任何	fe80::/64	ICMPv6	任何	任何	任何	任何	
核心网络 - 邻居发现请求(ICMPv6-In)	核心网络 	所有	是	允许	否	System	任何	任何	ICMPv6	任何	任何	任何	任何	
核心网络 - 邻居发现播发(ICMPv6-In)	核心网络 	所有	是	允许	否	System	任何	任何	ICMPv6	任何	任何	任何	任何	
核心网络 - 多播侦听程序完成(ICMPv6-In)	核心网络 	所有	是	允许	否	System	任何	本地子网	ICMPv6	任何	任何	任何	任何	
核心网络 - 多播侦听程序查询(ICMPv6-In)	核心网络 	所有	是	允许	否	System	任何	本地子网	ICMPv6	任何	任何	任何	任何	
核心网络 - 多播侦听程序报告(ICMPv6-In)	核心网络 	所有	是	允许	否	System	任何	本地子网	ICMPv6	任何	任何	任何	任何	
核心网络 - 多播侦听程序报告 v2 (ICMPv6-In)	核心网络 	所有	是	允许	否	System	任何	本地子网	ICMPv6	任何	任何	任何	任何	
核心网络 - 动态主机配置协议(DHCP-In)	核心网络 	所有	是	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	68	67	任何	任何	
核心网络 - 超时(ICMPv6-In)	核心网络 	所有	是	允许	否	System	任何	任何	ICMPv6	任何	任何	任何	任何	
核心网络 - 参数问题(ICMPv6-In)	核心网络 	所有	是	允许	否	System	任何	任何	ICMPv6	任何	任何	任何	任何	
核心网络 - Teredo (UDP-In)	核心网络 	所有	是	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	边缘遍历	任何	任何	任何	
核心网络 - IPv6 的动态主机配置协议(DHCPV6-In)	核心网络 	所有	是	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	546	547	任何	任何	
核心网络 - IPv6 (IPv6-In)	核心网络 	所有	是	允许	否	System	任何	任何	IPv6	任何	任何	任何	任何	
核心网络 - IPHTTPS (TCP-In)	核心网络 	所有	是	允许	否	System	任何	任何	TCP	IPHTTPS	任何	任何	任何	
核心网络 - Internet 组管理协议(IGMP-In)	核心网络 	所有	是	允许	否	System	任何	任何	IGMP	任何	任何	任何	任何	
xxxxxxxxxxxxxxxxxxx		域	是	阻止	否	任何	任何	任何	任何	任何	任何	任何	任何	
Windows Communication Foundation Net.TCP Listener Adapter (TCP-In)	Windows Communication Foundation	所有	是	允许	否	C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe	任何	任何	TCP	808	任何	任何	任何	
qBittorrent		公用	是	允许	否	C:\Program Files (x86)\qBittorrent\qbittorrent.exe	任何	任何	UDP	任何	任何	任何	任何	
qBittorrent		公用	是	允许	否	C:\Program Files (x86)\qBittorrent\qbittorrent.exe	任何	任何	TCP	任何	任何	任何	任何	
LiveUpdate360		公用	是	允许	否	C:\Program Files (x86)\360\360safe\LiveUpdate360.exe	任何	任何	TCP	任何	任何	任何	任何	
LiveUpdate360		公用	是	允许	否	C:\Program Files (x86)\360\360safe\LiveUpdate360.exe	任何	任何	UDP	任何	任何	任何	任何	
Firefox (C:\Program Files\Mozilla Firefox)		专用	是	允许	否	C:\Program Files\Mozilla Firefox\firefox.exe	任何	任何	TCP	任何	任何	任何	任何	
Firefox (C:\Program Files\Mozilla Firefox)		专用	是	允许	否	C:\Program Files\Mozilla Firefox\firefox.exe	任何	任何	UDP	任何	任何	任何	任何	
360安全卫士实时保护		公用	是	允许	否	C:\Program Files (x86)\360\360safe\safemon\360tray.exe	任何	任何	UDP	任何	任何	任何	任何	
360安全卫士实时保护		公用	是	允许	否	C:\Program Files (x86)\360\360safe\safemon\360tray.exe	任何	任何	TCP	任何	任何	任何	任何	
360se.exe		公用	是	允许	否	C:\Users\Administrator\AppData\Roaming\360se6\Application\360se.exe	任何	任何	TCP	任何	任何	任何	任何	
360se.exe		公用	是	允许	否	C:\Users\Administrator\AppData\Roaming\360se6\Application\360se.exe	任何	任何	UDP	任何	任何	任何	任何	
远程桌面(TCP-In)	远程桌面	所有	否	允许	否	System	任何	任何	TCP	3389	任何	任何	任何	
远程桌面 - RemoteFX (TCP-In)	远程桌面 - RemoteFX	所有	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	3389	任何	任何	任何	
远程协助(TCP-In)	远程协助	公用	否	允许	否	%SystemRoot%\system32\msra.exe	任何	任何	TCP	任何	任何	任何	任何	
远程协助(TCP-In)	远程协助	域, 专用	否	允许	否	%SystemRoot%\system32\msra.exe	任何	任何	TCP	任何	任何	任何	任何	
远程协助(SSDP UDP-In)	远程协助	域, 专用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	1900	任何	任何	任何	
远程协助(SSDP TCP-In)	远程协助	域, 专用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	2869	任何	任何	任何	
远程协助(RA 服务器 TCP-In)	远程协助	域	否	允许	否	%SystemRoot%\system32\raserver.exe	任何	任何	TCP	任何	任何	任何	任何	
远程协助(PNRP-In)	远程协助	公用	否	允许	否	%systemroot%\system32\svchost.exe	任何	任何	UDP	3540	任何	任何	任何	
远程协助(PNRP-In)	远程协助	域, 专用	否	允许	否	%systemroot%\system32\svchost.exe	任何	任何	UDP	3540	任何	任何	任何	
远程协助(DCOM-In)	远程协助	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	135	任何	任何	任何	
远程事件日志管理(RPC-EPMAP)	远程事件日志管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 终结点映射器	任何	任何	任何	
远程事件日志管理(RPC-EPMAP)	远程事件日志管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 终结点映射器	任何	任何	任何	
远程事件日志管理(RPC)	远程事件日志管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 动态端口	任何	任何	任何	
远程事件日志管理(RPC)	远程事件日志管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 动态端口	任何	任何	任何	
远程事件日志管理(NP-In)	远程事件日志管理	专用, 公用	否	允许	否	System	任何	本地子网	TCP	445	任何	任何	任何	
远程事件日志管理(NP-In)	远程事件日志管理	域	否	允许	否	System	任何	任何	TCP	445	任何	任何	任何	
远程卷管理(RPC-EPMAP)	远程卷管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 终结点映射器	任何	任何	任何	
远程卷管理(RPC-EPMAP)	远程卷管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 终结点映射器	任何	任何	任何	
远程卷管理 – 虚拟磁盘服务加载器(RPC)	远程卷管理	专用, 公用	否	允许	否	%SystemRoot%\system32\vdsldr.exe	任何	本地子网	TCP	RPC 动态端口	任何	任何	任何	
远程卷管理 – 虚拟磁盘服务加载器(RPC)	远程卷管理	域	否	允许	否	%SystemRoot%\system32\vdsldr.exe	任何	任何	TCP	RPC 动态端口	任何	任何	任何	
远程卷管理 – 虚拟磁盘服务(RPC)	远程卷管理	域	否	允许	否	%SystemRoot%\system32\vds.exe	任何	任何	TCP	RPC 动态端口	任何	任何	任何	
远程卷管理 – 虚拟磁盘服务(RPC)	远程卷管理	专用, 公用	否	允许	否	%SystemRoot%\system32\vds.exe	任何	本地子网	TCP	RPC 动态端口	任何	任何	任何	
远程计划任务管理(RPC-EPMAP)	远程计划任务管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 终结点映射器	任何	任何	任何	
远程计划任务管理(RPC-EPMAP)	远程计划任务管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 终结点映射器	任何	任何	任何	
远程计划任务管理(RPC)	远程计划任务管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 动态端口	任何	任何	任何	
远程计划任务管理(RPC)	远程计划任务管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 动态端口	任何	任何	任何	
远程服务管理(RPC-EPMAP)	远程服务管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 终结点映射器	任何	任何	任何	
远程服务管理(RPC-EPMAP)	远程服务管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 终结点映射器	任何	任何	任何	
远程服务管理(RPC)	远程服务管理	专用, 公用	否	允许	否	%SystemRoot%\system32\services.exe	任何	本地子网	TCP	RPC 动态端口	任何	任何	任何	
远程服务管理(RPC)	远程服务管理	域	否	允许	否	%SystemRoot%\system32\services.exe	任何	任何	TCP	RPC 动态端口	任何	任何	任何	
远程服务管理(NP-In)	远程服务管理	域	否	允许	否	System	任何	任何	TCP	445	任何	任何	任何	
远程服务管理(NP-In)	远程服务管理	专用, 公用	否	允许	否	System	任何	本地子网	TCP	445	任何	任何	任何	
性能日志和警报(TCP-In)	性能日志和警报	域	否	允许	否	%systemroot%\system32\plasrv.exe	任何	任何	TCP	任何	任何	任何	任何	
性能日志和警报(TCP-In)	性能日志和警报	专用, 公用	否	允许	否	%systemroot%\system32\plasrv.exe	任何	本地子网	TCP	任何	任何	任何	任何	
性能日志和警报(DCOM-In)	性能日志和警报	专用, 公用	否	允许	否	%systemroot%\system32\svchost.exe	任何	本地子网	TCP	135	任何	任何	任何	
性能日志和警报(DCOM-In)	性能日志和警报	域	否	允许	否	%systemroot%\system32\svchost.exe	任何	任何	TCP	135	任何	任何	任何	
