名称	组	配置文件	已启用	操作	程序	本地地址	远程地址	协议	本地端口	远程端口	许可的计算机	
核心网络 – 组策略(TCP-Out)	核心网络 	域	是	允许	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	任何	任何	任何	
核心网络 – 组策略(NP-Out)		核心网络 	域	是	允许	System	任何	任何	TCP	任何	445	任何	
核心网络 - 组策略(LSASS-Out)	核心网络 	域	是	允许	%SystemRoot%\system32\lsass.exe	任何	任何	TCP	任何	任何	任何	
核心网络 - 数据包太大(ICMPv6-Out)	核心网络 	所有	是	允许	任何	任何	任何	ICMPv6	任何	任何	任何	
核心网络 - 路由器请求(ICMPv6-Out)	核心网络 	所有	是	允许	任何	任何	本地子网, ff02::2, fe80::/64	ICMPv6	任何	任何	任何	
核心网络 - 路由器播发(ICMPv6-Out)	核心网络 	所有	是	允许	任何	fe80::/64	本地子网, ff02::1, fe80::/64	ICMPv6	任何	任何	任何	
核心网络 - 邻居发现请求(ICMPv6-Out)	核心网络 	所有	是	允许	任何	任何	任何	ICMPv6	任何	任何	任何	
核心网络 - 邻居发现播发(ICMPv6-Out)	核心网络 	所有	是	允许	任何	任何	任何	ICMPv6	任何	任何	任何	
核心网络 - 多播侦听程序查询(ICMPv6-Out)	核心网络 	所有	是	允许	任何	任何	本地子网	ICMPv6	任何	任何	任何	
核心网络 - 多播侦听程序报告(ICMPv6-Out)	核心网络 	所有	是	允许	任何	任何	本地子网	ICMPv6	任何	任何	任何	
核心网络 - 多播侦听程序报告 v2 (ICMPv6-Out)	核心网络 	所有	是	允许	任何	任何	本地子网	ICMPv6	任何	任何	任何	
核心网络 - 动态主机配置协议(DHCP-Out)	核心网络 	所有	是	允许	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	68	67	任何	
核心网络 - 超时(ICMPv6-Out)	核心网络 	所有	是	允许	任何	任何	任何	ICMPv6	任何	任何	任何	
核心网络 - 参数问题(ICMPv6-Out)	核心网络 	所有	是	允许	任何	任何	任何	ICMPv6	任何	任何	任何	
核心网络 - Teredo (UDP-Out)	核心网络 	所有	是	允许	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	任何	任何	任何	
核心网络 - IPv6 的动态主机配置协议(DHCPV6-Out)	核心网络 	所有	是	允许	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	546	547	任何	
核心网络 - IPv6 (IPv6-Out)	核心网络 	所有	是	允许	System	任何	任何	IPv6	任何	任何	任何	
核心网络 - IPHTTPS (TCP-Out)	核心网络 	所有	是	允许	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	任何	IPHTTPS	任何	
核心网络 - Internet 组管理协议(IGMP-Out)	核心网络 	所有	是	允许	System	任何	任何	IGMP	任何	任何	任何	
核心网络 – DNS (UDP-Out)	核心网络 	所有	是	允许	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	任何	53	任何	
核心程序 - 多播侦听程序完成(ICMPv6-Out)	核心网络 	所有	是	允许	任何	任何	本地子网	ICMPv6	任何	任何	任何	
enable firefox		公用	是	允许	%ProgramFiles%\Mozilla Firefox\firefox.exe	任何	任何	任何	任何	任何	任何	
block 按键精灵		所有	是	阻止	%ProgramFiles% (x86)\按键精灵9\按键精灵9.exe	任何	任何	任何	任何	任何	任何	
block pdf		所有	是	阻止	%ProgramFiles% (x86)\Foxit Software\Foxit Reader\Foxit Reader.exe	任何	任何	任何	任何	任何	任何	
block mysql56		所有	是	阻止	D:\software\database\RDBMS\MySQL\mysql-5.6.20-winx64\bin\mysqld.exe	任何	任何	任何	任何	任何	任何	
远程协助(TCP-Out)	远程协助	公用	否	允许	%SystemRoot%\system32\msra.exe	任何	任何	TCP	任何	任何	任何	
远程协助(TCP-Out)	远程协助	域, 专用	否	允许	%SystemRoot%\system32\msra.exe	任何	任何	TCP	任何	任何	任何	
远程协助(SSDP UDP-Out)	远程协助	域, 专用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	1900	任何	
远程协助(SSDP TCP-Out)	远程协助	域, 专用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	
远程协助(RA 服务器 TCP-Out)	远程协助	域	否	允许	%SystemRoot%\system32\raserver.exe	任何	任何	TCP	任何	任何	任何	
远程协助(PNRP-Out)	远程协助	公用	否	允许	%systemroot%\system32\svchost.exe	任何	任何	UDP	任何	任何	任何	
远程协助(PNRP-Out)	远程协助	域, 专用	否	允许	%systemroot%\system32\svchost.exe	任何	任何	UDP	任何	任何	任何	
无线便携式设备(UPnP-Out)	无线便携设备	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	
无线便携式设备(UPnPHost-Out)	无线便携设备	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	
无线便携式设备(TCP-Out)	无线便携设备	域	否	允许	%SystemRoot%\system32\wudfhost.exe	任何	任何	TCP	任何	任何	任何	
无线便携式设备(TCP-Out)	无线便携设备	专用, 公用	否	允许	%SystemRoot%\system32\wudfhost.exe	任何	本地子网	TCP	任何	任何	任何	
无线便携式设备(SSDP-Out)	无线便携设备	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	1900	任何	
文件和打印机共享(回显请求 - ICMPv6-Out)	文件和打印机共享	公用	否	允许	任何	任何	本地子网	ICMPv6	任何	任何	任何	
文件和打印机共享(回显请求 - ICMPv6-Out)	文件和打印机共享	域	否	允许	任何	任何	任何	ICMPv6	任何	任何	任何	
文件和打印机共享(回显请求 - ICMPv6-Out)	文件和打印机共享	专用	否	允许	任何	任何	本地子网	ICMPv6	任何	任何	任何	
文件和打印机共享(回显请求 - ICMPv4-Out)	文件和打印机共享	公用	否	允许	任何	任何	本地子网	ICMPv4	任何	任何	任何	
文件和打印机共享(回显请求 - ICMPv4-Out)	文件和打印机共享	专用	否	允许	任何	任何	本地子网	ICMPv4	任何	任何	任何	
文件和打印机共享(回显请求 - ICMPv4-Out)	文件和打印机共享	域	否	允许	任何	任何	任何	ICMPv4	任何	任何	任何	
文件和打印机共享(SMB-Out)	文件和打印机共享	域	否	允许	System	任何	任何	TCP	任何	445	任何	
文件和打印机共享(SMB-Out)	文件和打印机共享	专用	否	允许	System	任何	本地子网	TCP	任何	445	任何	
文件和打印机共享(SMB-Out)	文件和打印机共享	公用	否	允许	System	任何	本地子网	TCP	任何	445	任何	
文件和打印机共享(NB-Session-Out)	文件和打印机共享	公用	否	允许	System	任何	本地子网	TCP	任何	139	任何	
文件和打印机共享(NB-Session-Out)	文件和打印机共享	专用	否	允许	System	任何	本地子网	TCP	任何	139	任何	
文件和打印机共享(NB-Session-Out)	文件和打印机共享	域	否	允许	System	任何	任何	TCP	任何	139	任何	
文件和打印机共享(NB-Name-Out)	文件和打印机共享	专用	否	允许	System	任何	本地子网	UDP	任何	137	任何	
文件和打印机共享(NB-Name-Out)	文件和打印机共享	域	否	允许	System	任何	任何	UDP	任何	137	任何	
文件和打印机共享(NB-Name-Out)	文件和打印机共享	公用	否	允许	System	任何	本地子网	UDP	任何	137	任何	
文件和打印机共享(NB-Datagram-Out)	文件和打印机共享	专用	否	允许	System	任何	本地子网	UDP	任何	138	任何	
文件和打印机共享(NB-Datagram-Out)	文件和打印机共享	域	否	允许	System	任何	任何	UDP	任何	138	任何	
文件和打印机共享(NB-Datagram-Out)	文件和打印机共享	公用	否	允许	System	任何	本地子网	UDP	任何	138	任何	
文件和打印机共享(LLMNR-UDP-Out)	文件和打印机共享	专用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	5355	任何	
文件和打印机共享(LLMNR-UDP-Out)	文件和打印机共享	域, 公用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	5355	任何	
网络发现(WSD-Out)	网络发现	专用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	3702	任何	
网络发现(WSD-Out)	网络发现	域, 公用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	3702	任何	
网络发现(WSD EventsSecure-Out)	网络发现	专用	否	允许	System	任何	本地子网	TCP	任何	5358	任何	
网络发现(WSD EventsSecure-Out)	网络发现	域	否	允许	System	任何	任何	TCP	任何	5358	任何	
网络发现(WSD EventsSecure-Out)	网络发现	公用	否	允许	System	任何	本地子网	TCP	任何	5358	任何	
网络发现(WSD Events-Out)	网络发现	域	否	允许	System	任何	任何	TCP	任何	5357	任何	
网络发现(WSD Events-Out)	网络发现	公用	否	允许	System	任何	本地子网	TCP	任何	5357	任何	
网络发现(WSD Events-Out)	网络发现	专用	否	允许	System	任何	本地子网	TCP	任何	5357	任何	
网络发现(UPnP-Out)	网络发现	公用	否	允许	System	任何	本地子网	TCP	任何	任何	任何	
网络发现(UPnP-Out)	网络发现	专用	否	允许	System	任何	本地子网	TCP	任何	任何	任何	
网络发现(UPnP-Out)	网络发现	域	否	允许	System	任何	任何	TCP	任何	任何	任何	
网络发现(UPnPHost-Out)	网络发现	专用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	
网络发现(UPnPHost-Out)	网络发现	域, 公用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	
网络发现(SSDP-Out)	网络发现	域, 公用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	1900	任何	
网络发现(SSDP-Out)	网络发现	专用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	1900	任何	
网络发现(Pub WSD-Out)	网络发现	域, 公用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	3702	任何	
网络发现(Pub WSD-Out)	网络发现	专用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	3702	任何	
网络发现(NB-Name-Out)	网络发现	专用	否	允许	System	任何	本地子网	UDP	任何	137	任何	
网络发现(NB-Name-Out)	网络发现	公用	否	允许	System	任何	本地子网	UDP	任何	137	任何	
网络发现(NB-Name-Out)	网络发现	域	否	允许	System	任何	任何	UDP	任何	137	任何	
网络发现(NB-Datagram-Out)	网络发现	专用	否	允许	System	任何	本地子网	UDP	任何	138	任何	
网络发现(NB-Datagram-Out)	网络发现	域	否	允许	System	任何	任何	UDP	任何	138	任何	
网络发现(NB-Datagram-Out)	网络发现	公用	否	允许	System	任何	本地子网	UDP	任何	138	任何	
网络发现(LLMNR-UDP-Out)	网络发现	域, 公用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	5355	任何	
网络发现(LLMNR-UDP-Out)	网络发现	专用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	5355	任何	
路由和远程访问(PPTP-Out)	路由和远程访问	所有	否	允许	System	任何	任何	TCP	任何	1723	任何	
路由和远程访问(L2TP-Out)	路由和远程访问	所有	否	允许	System	任何	任何	UDP	任何	1701	任何	
路由和远程访问(GRE-Out)	路由和远程访问	所有	否	允许	System	任何	任何	GRE	任何	任何	任何	
连接到网络投影仪(WSD EventsSecure-Out)	连接到网络投影仪	域	否	允许	System	任何	任何	TCP	任何	5358	任何	
连接到网络投影仪(WSD EventsSecure-Out)	连接到网络投影仪	专用, 公用	否	允许	System	任何	本地子网	TCP	任何	5358	任何	
连接到网络投影仪(WSD Events-Out)	连接到网络投影仪	域	否	允许	System	任何	任何	TCP	任何	5357	任何	
连接到网络投影仪(WSD Events-Out)	连接到网络投影仪	专用, 公用	否	允许	System	任何	本地子网	TCP	任何	5357	任何	
家庭组输出(PNRP)	家庭组	专用	否	允许	%systemroot%\system32\svchost.exe	任何	本地子网	UDP	任何	3540	任何	
家庭组输出	家庭组	专用	否	允许	%systemroot%\system32\svchost.exe	任何	本地子网	TCP	任何	3587	任何	
分布式事务处理协调器(TCP-Out)	分布式事务处理协调器	专用, 公用	否	允许	%SystemRoot%\system32\msdtc.exe	任何	本地子网	TCP	任何	任何	任何	
分布式事务处理协调器(TCP-Out)	分布式事务处理协调器	域	否	允许	%SystemRoot%\system32\msdtc.exe	任何	任何	TCP	任何	任何	任何	
到网络投影仪的连接(WSD-Out)	连接到网络投影仪	所有	否	允许	%SystemRoot%\system32\netproj.exe	任何	本地子网	UDP	任何	3702	任何	
到网络投影仪的连接(TCP-Out)	连接到网络投影仪	专用, 公用	否	允许	%SystemRoot%\system32\netproj.exe	任何	本地子网	TCP	任何	任何	任何	
到网络投影仪的连接(TCP-Out)	连接到网络投影仪	域	否	允许	%SystemRoot%\system32\netproj.exe	任何	任何	TCP	任何	任何	任何	
Windows 协作计算机名称注册服务(SSDP-Out)	Windows 协作计算机名称注册服务	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	1900	任何	
Windows 协作计算机名称注册服务(PNRP-Out)	Windows 协作计算机名称注册服务	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	任何	3540	任何	
Windows 对等协作基础(WSD-Out)	Windows 对等协作基础	所有	否	允许	%SystemRoot%\system32\p2phost.exe	任何	本地子网	UDP	任何	3702	任何	
Windows 对等协作基础(TCP-Out)	Windows 对等协作基础	所有	否	允许	%SystemRoot%\system32\p2phost.exe	任何	任何	TCP	任何	任何	任何	
Windows 对等协作基础(SSDP-Out)	Windows 对等协作基础	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	1900	任何	
Windows 对等协作基础(PNRP-Out)	Windows 对等协作基础	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	任何	3540	任何	
Windows Media Player 网络共享服务(UPnP-Out)	Windows Media Player 网络共享服务	专用	否	允许	System	任何	本地子网	TCP	任何	任何	任何	
Windows Media Player 网络共享服务(UPnP-Out)	Windows Media Player 网络共享服务	域, 公用	否	允许	System	任何	本地子网	TCP	任何	任何	任何	
