e others/我的叶子/wage.txt

:r !date +\%Y\%m\%d

20241211 702/10 #之前:700强/10? + 500强/7
20241221 720/10
20250102 630/10
20250110 720/10
20250117 630/9?过年

20250209 开工
20250214 房租涨价预告:@0318:600-->650

20250219 1060/10
20250301? 1012/10?
20250311 630/10
20250321 715/10
20250405 1120/15
20250411 602/6
20250507 1558/19
20250512 830/12
20250528 1200/16
20250604 642/7
20250612 606/(8-1)
20250626 1111/14
20250708 920/12
20250721 970/13
20250802 843/12
20250812 550/10
20250901 1040/19
20250917 500/16
20250930 450/13
20251014 400/(14-3)
20251023 505/9


